General.ID,Order,Family,Genus,Species,Common.name,IUCN.status,Survivorship,Age,Sex,Year,Month,Day,Date.accuracy,Latitude,Longitude,Location.accuracy,Locality,State.or.Province,Country,Deterrent,Building.height,Pane.type,Data.collection.method
1966,Anseriformes,Anatidae,Dendrocygna,Dendrocygna viduata,White-faced Whistling-Duck,Least Concern,Alive,Adult,Unknown,2018,May,11,Exact,-23.44,-46.55,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1967,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2018,May,9,Exact,-23.44,-46.54,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1968,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2018,April,22,Exact,-23.46,-46.56,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1969,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2018,April,10,Exact,-23.44,-46.55,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1970,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2018,April,10,Exact,-23.44,-46.55,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1971,Cuculiformes,Cuculidae,Piaya,Piaya cayana,Squirrel Cuckoo,Least Concern,Alive,Adult,Unknown,2017,December,18,Exact,-23.46,-46.63,Precise,Mairipora,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1972,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2017,December,14,Exact,-23.44,-46.55,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1973,Passeriformes,Tyrannidae,Tyrannus,Tyrannus savana,Fork-tailed Flycatcher,Least Concern,Alive,Juvenile,Unknown,2017,December,14,Exact,-23.47,-46.52,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1974,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2017,December,12,Exact,-23.44,-46.55,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
1975,Psittaciformes,Psittacidae,Brotogeris,Brotogeris tirica,Plain Parakeet,Least Concern,Alive,Adult,Unknown,2017,November,24,Exact,-23.47,-46.53,Precise,Guarulhos,Sao Paulo,Brazil,Unknown,Unknown,Unknown,Gov. Agency
